,Item #,Part #,List Price,Frame Rating,Amp Rating,Breaking Capacity,Performance %,Trip Unit,240V kAIC,480V kAIC,Labor Units
,02130803UL,UTS600L ETS33 LSI 600A 3P LO UL,"$15,380.38 ",600,600A,L,80,ETS33,100,100,2
,02130804UL,UTS600L ETS33 LSI 400A 3P LO UL,"$15,380.38 ",600,400A,L,80,ETS33,100,100,2
,02130815UL,UTS600NT ETS33 LSI 600A 3P LO UL,"$12,014.37 ",600,600A,NT,100,ETS33,65,35,2
,02130816UL,UTS600NT ETS33 LSI 400A 3P LO UL,"$12,014.37 ",600,400A,NT,100,ETS33,65,35,2
,02130827UL,UTS600HT ETS33 LSI 600A 3P LO UL,"$13,463.37 ",600,600A,HT,100,ETS33,100,65,2
,02130828UL,UTS600HT ETS33 LSI 400A 3P LO UL,"$13,463.37 ",600,400A,HT,100,ETS33,100,65,2
,02130839UL,UTS600LT ETS33 LSI 600A 3P LO UL,"$17,072.20 ",600,600A,LT,100,ETS33,100,100,2
,02130840UL,UTS600LT ETS33 LSI 400A 3P LO UL,"$17,072.20 ",600,400A,LT,100,ETS33,100,100,2
UTS800,02151105UL,UTS800N NG0 400A 3P LO UL,"$9,815.37 ",800,400A,N,80,NG0,50,35,2
,02151151UL,UTS800N NG0 600A 3P LO UL,"$9,815.37 ",800,600A,N,80,NG0,50,35,2
,02151197UL,UTS800N NG0 630A 3P LO UL,"$9,815.37 ",800,630A,N,80,NG0,50,35,2
,02151243UL,UTS800N NG0 800A 3P LO UL,"$9,815.37 ",800,800A,N,80,NG0,50,35,2
,02151289UL,UTS800H NG0 400A 3P LO UL,"$11,778.14 ",800,400A,H,80,NG0,100,65,2
,02151335UL,UTS800H NG0 600A 3P LO UL,"$11,778.14 ",800,600A,H,80,NG0,100,65,2
,02151381UL,UTS800H NG0 630A 3P LO UL,"$11,778.14 ",800,630A,H,80,NG0,100,65,2
,02151427UL,UTS800H NG0 800A 3P LO UL,"$11,778.14 ",800,800A,H,80,NG0,100,65,2
,02151473UL,UTS800L NG0 400A 3P LO UL,"$12,956.62 ",800,400A,L,80,NG0,100,100,2
,02151519UL,UTS800L NG0 600A 3P LO UL,"$12,956.62 ",800,600A,L,80,NG0,100,100,2
,02151565UL,UTS800L NG0 630A 3P LO UL,"$12,956.62 ",800,630A,L,80,NG0,100,100,2
,02151611UL,UTS800L NG0 800A 3P LO UL,"$12,956.62 ",800,800A,L,80,NG0,100,100,2
,02153313UL,UTS800NT NG0 400A 3P LO UL,"$10,797.39 ",800,400A,NT,100,NG0,50,35,2
,02153359UL,UTS800NT NG0 600A 3P LO UL,"$10,797.39 ",800,600A,NT,100,NG0,50,35,2
,02153405UL,UTS800NT NG0 630A 3P LO UL,"$10,797.39 ",800,630A,NT,100,NG0,50,35,2
,02153451UL,UTS800NT NG0 800A 3P LO UL,"$10,797.39 ",800,800A,NT,100,NG0,50,35,2
,02153497UL,UTS800HT NG0 400A 3P LO UL,"$12,956.62 ",800,400A,HT,100,NG0,100,65,2
,02153543UL,UTS800HT NG0 600A 3P LO UL,"$12,956.62 ",800,600A,HT,100,NG0,100,65,2
,02153589UL,UTS800HT NG0 630A 3P LO UL,"$12,956.62 ",800,630A,HT,100,NG0,100,65,2
,02153635UL,UTS800HT NG0 800A 3P LO UL,"$12,956.62 ",800,800A,HT,100,NG0,100,65,2
,02153681UL,UTS800LT NG0 400A 3P LO UL,"$14,252.12 ",800,400A,LT,100,NG0,100,100,2
,02153727UL,UTS800LT NG0 600A 3P LO UL,"$14,252.12 ",800,600A,LT,100,NG0,100,100,2
,02153773UL,UTS800LT NG0 630A 3P LO UL,"$14,252.12 ",800,630A,LT,100,NG0,100,100,2
,02153819UL,UTS800LT NG0 800A 3P LO UL,"$14,252.12 ",800,800A,LT,100,NG0,100,100,2
UTS1200,02145316UL,UTS1200N AI1 800A 3P LO UL,"$15,093.47 ",1200,800A,N,80,AI1,50,35,2
,02145352UL,UTS1200N AI1 1000A 3P LO UL,"$15,093.47 ",1200,1000A,N,80,AI1,50,35,2
,02145388UL,UTS1200N AI1 1200A 3P LO UL,"$15,093.47 ",1200,1200A,N,80,AI1,50,35,2
,02145424UL,UTS1200P AI1 800A 3P LO UL,"$21,915.71 ",1200,800A,P,80,AI1,65,50,2
,02145460UL,UTS1200P AI1 1000A 3P LO UL,"$21,915.71 ",1200,1000A,P,80,AI1,65,50,2
,02145496UL,UTS1200P AI1 1200A 3P LO UL,"$21,915.71 ",1200,1200A,P,80,AI1,65,50,2
,02145532UL,UTS1200H AI1 800A 3P LO UL,"$18,112.19 ",1200,800A,H,80,AI1,100,65,2
,02145568UL,UTS1200H AI1 1000A 3P LO UL,"$18,112.19 ",1200,1000A,H,80,AI1,100,65,2
,02145604UL,UTS1200H AI1 1200A 3P LO UL,"$18,112.19 ",1200,1200A,H,80,AI1,100,65,2
,02145640UL,UTS1200L AI1 800A 3P LO UL,"$19,923.38 ",1200,800A,L,80,AI1,100,100,2
,02145676UL,UTS1200L AI1 1000A 3P LO UL,"$19,923.38 ",1200,1000A,L,80,AI1,100,100,2
,02145712UL,UTS1200L AI1 1200A 3P LO UL,"$19,923.38 ",1200,1200A,L,80,AI1,100,100,2
,02147044UL,UTS1200NT AI1 800A 3P LO UL,"$16,602.76 ",1200,800A,NT,100,AI1,50,35,2
,02147080UL,UTS1200NT AI1 1000A 3P LO UL,"$16,602.76 ",1200,1000A,NT,100,AI1,50,35,2
,02147116UL,UTS1200NT AI1 1200A 3P LO UL,"$16,602.76 ",1200,1200A,NT,100,AI1,50,35,2
,02147152UL,UTS1200PT AI1 800A 3P LO UL,"$24,107.38 ",1200,800A,PT,100,AI1,65,50,2
,02147188UL,UTS1200PT AI1 1000A 3P LO UL,"$24,107.38 ",1200,1000A,PT,100,AI1,65,50,2
,02147224UL,UTS1200PT AI1 1200A 3P LO UL,"$24,107.38 ",1200,1200A,PT,100,AI1,65,50,2
,02147260UL,UTS1200HT AI1 800A 3P LO UL,"$19,923.38 ",1200,800A,HT,100,AI1,100,65,2
,02147296UL,UTS1200HT AI1 1000A 3P LO UL,"$19,923.38 ",1200,1000A,HT,100,AI1,100,65,2
,02147332UL,UTS1200HT AI1 1200A 3P LO UL,"$19,923.38 ",1200,1200A,HT,100,AI1,100,65,2
,02147368UL,UTS1200LT AI1 800A 3P LO UL,"$21,915.71 ",1200,800A,LT,100,AI1,100,100,2
,02147404UL,UTS1200LT AI1 1000A 3P LO UL,"$21,915.71 ",1200,1000A,LT,100,AI1,100,100,2
,02147440UL,UTS1200LT AI1 1200A 3P LO UL,"$21,915.71 ",1200,1200A,LT,100,AI1,100,100,2
